fund_type,fund_style,asset_size,ranking_score,current_stocks,current_bonds,current_cash,ind_0,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,ind_9,ind_10,ind_11,ind_12,ind_13,ind_14,ind_15,ind_16,ind_17
混合型,大盘平衡,"(4.665, 9.03]","(0.75, 1.0]",0.8765999999999999,0.0033,0.12300000000000001,0.5679,0.0,0.008199999999999999,0.0892,0.0,0.0,0.17550000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0358,0.0,0.0,0.0,0.0
股票型,大盘平衡,"(2.009, 4.665]","(0.75, 1.0]",0.8719,0.0,0.057300000000000004,0.6724,0.0,0.0571,0.0,0.0223,0.0,0.0,0.0,0.0,0.0,0.0739,0.0,0.0,0.0,0.0191,0.0,0.0,0.0
股票型,大盘成长,"(2.009, 4.665]","(0.75, 1.0]",0.8841,0.0,0.1295,0.6594,0.0,0.09820000000000001,0.0,0.0,0.0,0.0245,0.0,0.0,0.0,0.0,0.0,0.0,0.0461,0.0,0.0433,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.75, 1.0]",0.9035,0.024900000000000002,0.0695,0.6879000000000001,0.0,0.0291,0.0,0.0,0.0,0.0325,0.0,0.0,0.0,0.0,0.0,0.087,0.0649,0.0,0.0,0.0,0.0
股票型,大盘平衡,"(19.83, 186.94]","(0.75, 1.0]",0.9264,0.0,0.0924,0.5705,0.165,0.0,0.1097,0.0,0.043899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025099999999999997,0.0,0.0,0.0
股票型,大盘平衡,"(4.665, 9.03]","(0.5, 0.75]",0.924,0.0043,0.0702,0.5720000000000001,0.0964,0.0,0.0,0.0,0.0,0.053399999999999996,0.0,0.0,0.0,0.0,0.048499999999999995,0.0,0.0479,0.0,0.0,0.0,0.0
混合型,大盘成长,"(4.665, 9.03]","(0.25, 0.5]",0.9148000000000001,0.0001,0.0851,0.6476000000000001,0.084,0.1026,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0489,0.0,0.0,0.0,0.0
股票指数,中盘价值,"(19.83, 186.94]","(0.5, 0.75]",0.8439,0.0,0.1816,0.4462,0.0574,0.08960000000000001,0.038599999999999995,0.0,0.0,0.0555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
混合型,大盘价值,"(9.03, 19.83]","(0.5, 0.75]",0.8576999999999999,0.0,0.1448,0.5064,0.0,0.0,0.1137,0.0,0.0,0.1284,0.0,0.0,0.0737,0.030699999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
股票型,大盘成长,"(9.03, 19.83]","(0.75, 1.0]",0.8551000000000001,0.0045000000000000005,0.1438,0.6365999999999999,0.046,0.09029999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0298,0.0,0.0,0.0,0.0347,0.0,0.0,0.0,0.0
